sku,price,errors
10339-BK,1.690,"Product Type is invalid or not supported"
10339-LGN,1.690,"Product Type is invalid or not supported"
10339-RD,1.690,"Product Type is invalid or not supported"
10339-WE,1.690,"Product Type is invalid or not supported"
10339-YW,1.690,"Product Type is invalid or not supported"
10340-BE,0.390,"Product Type is invalid or not supported"
10340-RD,0.390,"Product Type is invalid or not supported"
10341-BE,0.390,"Product Type is invalid or not supported"
10341-BK,0.390,"Product Type is invalid or not supported"
10341-OE,0.390,"Product Type is invalid or not supported"
10341-RD,0.390,"Product Type is invalid or not supported"
10341-WE,0.390,"Product Type is invalid or not supported"
10341-YW,0.390,"Product Type is invalid or not supported"
19011-SR/W,1.990,"Product Type is invalid or not supported"
19013-SR/W,2.290,"Product Type is invalid or not supported"
19017,6.460,"Product Type is invalid or not supported"
19018,6.150,"Product Type is invalid or not supported"
19022,7.330,"Product Type is invalid or not supported"
19023,15.730,"Product Type is invalid or not supported"
19027,49.330,"Product Type is invalid or not supported"
19031,10.450,"Product Type is invalid or not supported"
19033,3.460,"Product Type is invalid or not supported"
19036,1.990,"Product Type is invalid or not supported"
19037,3.560,"Product Type is invalid or not supported"
19039,2.620,"Product Type is invalid or not supported"
19040-BK,1.850,"Product Type is invalid or not supported"
19040-SR,1.850,"Product Type is invalid or not supported"
19042,8.720,"Product Type is invalid or not supported"
19043-BE,1.950,"Product Type is invalid or not supported"
19043-BK,1.950,"Product Type is invalid or not supported"
19043-RD,1.950,"Product Type is invalid or not supported"
19043-SR,1.950,"Product Type is invalid or not supported"
19044,7.330,"Product Type is invalid or not supported"
19045,7.330,"Product Type is invalid or not supported"
19046-BE,1.030,"Product Type is invalid or not supported"
19046-BK,1.030,"Product Type is invalid or not supported"
19046-RD,1.030,"Product Type is invalid or not supported"
19046-SR,1.030,"Product Type is invalid or not supported"
19047-BK,1.880,"Product Type is invalid or not supported"
19047-SR,1.880,"Product Type is invalid or not supported"
19048,1.990,"Product Type is invalid or not supported"
