sku,qty,price,errors
10330,100000,"1,700","Product Type is invalid or not supported"
10331,100000,"1,700","Product Type is invalid or not supported"
10332,100000,"1,700","Product Type is invalid or not supported"
10333,100000,"1,850","Product Type is invalid or not supported"
10334,100000,"1,850","Product Type is invalid or not supported"
10335,100000,"1,850","Product Type is invalid or not supported"
10336,100000,"2,690","Product Type is invalid or not supported"
10337,100000,"2,490","Product Type is invalid or not supported"
10338-BE,100000,"1,690","Product Type is invalid or not supported"
10338-BK,100000,"1,690","Product Type is invalid or not supported"
10338-LGN,100000,"1,690","Product Type is invalid or not supported"
10338-RD,100000,"1,690","Product Type is invalid or not supported"
10338-WE,100000,"1,690","Product Type is invalid or not supported"
10338-YW,100000,"1,690","Product Type is invalid or not supported"
10339-BE,100000,"1,690","Product Type is invalid or not supported"
10339-BK,100000,"1,690","Product Type is invalid or not supported"
10339-LGN,100000,"1,690","Product Type is invalid or not supported"
10339-RD,100000,"1,690","Product Type is invalid or not supported"
10339-WE,100000,"1,690","Product Type is invalid or not supported"
10339-YW,100000,"1,690","Product Type is invalid or not supported"
10340-BE,100000,"0,390","Product Type is invalid or not supported"
10340-RD,100000,"0,390","Product Type is invalid or not supported"
10341-BE,100000,"0,390","Product Type is invalid or not supported"
10341-BK,100000,"0,390","Product Type is invalid or not supported"
10341-OE,100000,"0,390","Product Type is invalid or not supported"
10341-RD,100000,"0,390","Product Type is invalid or not supported"
10341-WE,100000,"0,390","Product Type is invalid or not supported"
10341-YW,100000,"0,390","Product Type is invalid or not supported"
19011-SR/W,100000,"1,990","Product Type is invalid or not supported"
19013-SR/W,100000,"2,290","Product Type is invalid or not supported"
19017,100000,"6,460","Product Type is invalid or not supported"
19018,100000,"6,150","Product Type is invalid or not supported"
19022,100000,"7,330","Product Type is invalid or not supported"
19023,100000,"15,730","Product Type is invalid or not supported"
19027,100000,"49,330","Product Type is invalid or not supported"
19031,100000,"10,450","Product Type is invalid or not supported"
19033,100000,"3,460","Product Type is invalid or not supported"
19036,100000,"1,990","Product Type is invalid or not supported"
19037,100000,"3,560","Product Type is invalid or not supported"
19039,100000,"2,620","Product Type is invalid or not supported"
19040-BK,100000,"1,850","Product Type is invalid or not supported"
19040-SR,100000,"1,850","Product Type is invalid or not supported"
19042,100000,"8,720","Product Type is invalid or not supported"
19043-BE,100000,"1,950","Product Type is invalid or not supported"
19043-BK,100000,"1,950","Product Type is invalid or not supported"
19043-RD,100000,"1,950","Product Type is invalid or not supported"
19043-SR,100000,"1,950","Product Type is invalid or not supported"
19044,100000,"7,330","Product Type is invalid or not supported"
19045,100000,"7,330","Product Type is invalid or not supported"
19046-BE,100000,"1,030","Product Type is invalid or not supported"
19046-BK,100000,"1,030","Product Type is invalid or not supported"
19046-RD,100000,"1,030","Product Type is invalid or not supported"
19046-SR,100000,"1,030","Product Type is invalid or not supported"
19047-BK,100000,"1,880","Product Type is invalid or not supported"
19047-SR,100000,"1,880","Product Type is invalid or not supported"
19048,100000,"1,990","Product Type is invalid or not supported"
2010020,100000,"3,090","Product Type is invalid or not supported"
2010052,100000,"1,360","Product Type is invalid or not supported"
2010120,100000,"3,120","Product Type is invalid or not supported"
2010138,100000,"6,700","Product Type is invalid or not supported"
2010158,100000,"0,580","Product Type is invalid or not supported"
2010159,100000,"0,580","Product Type is invalid or not supported"
2010200,100000,"0,390","Product Type is invalid or not supported"
2010201,100000,"0,390","Product Type is invalid or not supported"
2050331,100000,"2,090","Product Type is invalid or not supported"
2060018,100000,"5,820","Product Type is invalid or not supported"
3010020,100000,"3,090","Product Type is invalid or not supported"
3010158,100000,"0,580","Product Type is invalid or not supported"
3010200,100000,"0,390","Product Type is invalid or not supported"
4010158,100000,"0,580","Product Type is invalid or not supported"
50002,100000,"3,350","Product Type is invalid or not supported"
50007-M,100000,"8,390","Product Type is invalid or not supported"
50013-M,100000,"9,960","Product Type is invalid or not supported"
50015,100000,"2,190","Product Type is invalid or not supported"
50019,100000,"1,560","Product Type is invalid or not supported"
50020,100000,"1,560","Product Type is invalid or not supported"
50021,100000,"1,560","Product Type is invalid or not supported"
50022,100000,"1,560","Product Type is invalid or not supported"
50038,100000,"3,250","Product Type is invalid or not supported"
50042,100000,"2,620","Product Type is invalid or not supported"
50046,100000,"5,230","Product Type is invalid or not supported"
50046-M,100000,"5,230","Product Type is invalid or not supported"
50057,100000,"2,290","Product Type is invalid or not supported"
50058,100000,"3,720","Product Type is invalid or not supported"
50061,100000,"14,280","Product Type is invalid or not supported"
50072-M,100000,"5,200","Product Type is invalid or not supported"
5010158,100000,"0,580","Product Type is invalid or not supported"
50103,100000,"3,780","Product Type is invalid or not supported"
