sku,price
70555-BN,9.350
70555-GN,9.350
70555-GY,9.350
70555-LBE,9.350
70555-LGN,9.350
70555-MG,9.350
70555-OE,9.350
70555-PE,9.350
70555-RD,9.350
70555-WE,9.350
70555-YW,9.350
70777-SR,15.690
70888-BE,13.590
70888-BK,13.590
70888-BN,13.590
70888-GN,13.590
70888-GY,13.590
70888-LBE,13.590
70888-LGN,13.590
70888-MG,13.590
70888-OE,13.590
70888-PE,13.590
70888-RD,13.590
70888-WE,13.590
70888-YW,13.590
70999-BK,25.950
70999-WE,25.950
9010200,0.390
FP50-700-712-904-906,3.660
FP50-713-905-906,3.250
WP02,1.030
WP03,1.490
WP04,2.300
WP05,1.150
WP07,5.200
WP08,7.330
WP09,23.090
