sku,price
51401-BE,0.790
51401-RD,0.790
51401-WE,0.790
51402-WE,1.030
51405,8.350
51410,3.130
51412,12.430
51413,5.760
51414,6.920
51415,4.400
51416,8.720
51417,15.730
51418,1.490
51419,1.490
51423,11.180
51424,52.330
51427,6.080
51428,11.860
51430,2.480
51433,4.960
51437,6.590
51438,5.200
51440-BE,0.500
51440-WE,0.500
51441-BK,0.800
51441-RD,0.800
51441-WE,0.800
51442,5.560
51443,2.620
51444,2.480
51445,22.030
51454,12.430
51455,9.990
51457,33.060
51458-BE,0.880
51458-GY,0.880
51458-RD,0.880
51460-BE,0.320
51460-BK,0.320
51460-RD,0.230
51460-WE,0.320
51462,26.230
51467,0.920
51467-BK,0.920
51469,5.200
51472,10.490
51473,5.620
51474,3.990
51475,4.400
51476,6.990
51477,4.820
51478,2.720
51480,10.490
51481,16.750
51482,4.600
51483,2.820
51487,4.290
51493,1.290
51494,4.820
51495,3.880
51496,5.620
51497,14.850
51498,7.690
51499,8.080
51501,24.980
51502,7.330
51503,4.990
51504,8.700
51505,12.430
51508,11.180
51509,16.790
51510,57.730
51511-BK,3.720
51511-SR,3.720
51512,14.690
51514,2.990
51517-BE,3.290
51517-LRD,3.290
51518-BK,0.980
51518-LRD,0.980
51518-SR,0.980
51518-WE,0.980
51519,6.200
51520,8.390
51521,3.990
51522,6.560
51523,9.990
51524,12.990
51528,4.990
51530,9.290
51531,13.630
51533,3.880
51534,2.820
51535,6.200
51537,2.190
51538,4.990
51540-BK,1.150
51540-WE,1.150
51541-BK,0.800
51541-WE,0.800
51546,41.950
51549,10.180
51550,6.560
51551,11.180
51552,28.590
51554,2.990
51555,2.990
51556,4.820
51557,2.090
51558,3.130
51559,49.860
51560,11.860
51562-GD,1.730
51562-SR,1.730
51563,13.850
51566,9.990
51567,11.180
51568,15.730
51569,9.430
51570,10.650
51571,11.990
51572,11.990
51574,2.190
51576-GY,11.500
51576-RD,11.500
51577,4.600
51578,7.550
51579,7.330
51580,33.500
51581,28.900
51582-LGY,1.030
51583-LGY,3.560
51584-LGY,2.990
51585-LGY,6.200
