sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
10319,All Websites [EUR],ALL GROUPS,1,1.560
10320,All Websites [EUR],ALL GROUPS,1,2.620
10321-BK,All Websites [EUR],ALL GROUPS,1,2.090
10322,All Websites [EUR],ALL GROUPS,1,1.560
10325-BE,All Websites [EUR],ALL GROUPS,1,3.490
10325-DGY,All Websites [EUR],ALL GROUPS,1,3.490
10327,All Websites [EUR],ALL GROUPS,1,1.700
10328,All Websites [EUR],ALL GROUPS,1,1.700
10329,All Websites [EUR],ALL GROUPS,1,1.700
10330,All Websites [EUR],ALL GROUPS,1,1.700
10331,All Websites [EUR],ALL GROUPS,1,1.700
10332,All Websites [EUR],ALL GROUPS,1,1.700
10333,All Websites [EUR],ALL GROUPS,1,1.850
10334,All Websites [EUR],ALL GROUPS,1,1.850
10335,All Websites [EUR],ALL GROUPS,1,1.850
10336,All Websites [EUR],ALL GROUPS,1,2.690
10337,All Websites [EUR],ALL GROUPS,1,2.490
10338-BE,All Websites [EUR],ALL GROUPS,1,1.690
10338-BK,All Websites [EUR],ALL GROUPS,1,1.690
10338-LGN,All Websites [EUR],ALL GROUPS,1,1.690
10338-RD,All Websites [EUR],ALL GROUPS,1,1.690
10338-WE,All Websites [EUR],ALL GROUPS,1,1.690
10338-YW,All Websites [EUR],ALL GROUPS,1,1.690
10339-BE,All Websites [EUR],ALL GROUPS,1,1.690
10339-BK,All Websites [EUR],ALL GROUPS,1,1.690
10339-LGN,All Websites [EUR],ALL GROUPS,1,1.690
10339-RD,All Websites [EUR],ALL GROUPS,1,1.690
10339-WE,All Websites [EUR],ALL GROUPS,1,1.690
10339-YW,All Websites [EUR],ALL GROUPS,1,1.690
10340-BE,All Websites [EUR],ALL GROUPS,1,390
10340-RD,All Websites [EUR],ALL GROUPS,1,390
10341-BE,All Websites [EUR],ALL GROUPS,1,390
10341-BK,All Websites [EUR],ALL GROUPS,1,390
10341-OE,All Websites [EUR],ALL GROUPS,1,390
10341-RD,All Websites [EUR],ALL GROUPS,1,390
10341-WE,All Websites [EUR],ALL GROUPS,1,390
10341-YW,All Websites [EUR],ALL GROUPS,1,390
19011-SR/W,All Websites [EUR],ALL GROUPS,1,1.990
19013-SR/W,All Websites [EUR],ALL GROUPS,1,2.290
19017,All Websites [EUR],ALL GROUPS,1,6.460
19018,All Websites [EUR],ALL GROUPS,1,6.150
19022,All Websites [EUR],ALL GROUPS,1,7.330
19023,All Websites [EUR],ALL GROUPS,1,15.730
19027,All Websites [EUR],ALL GROUPS,1,49.330
19031,All Websites [EUR],ALL GROUPS,1,10.450
19033,All Websites [EUR],ALL GROUPS,1,3.460
19036,All Websites [EUR],ALL GROUPS,1,1.990
19037,All Websites [EUR],ALL GROUPS,1,3.560
19039,All Websites [EUR],ALL GROUPS,1,2.620
19040-BK,All Websites [EUR],ALL GROUPS,1,1.850
19040-SR,All Websites [EUR],ALL GROUPS,1,1.850
19042,All Websites [EUR],ALL GROUPS,1,8.720
19043-BE,All Websites [EUR],ALL GROUPS,1,1.950
19043-BK,All Websites [EUR],ALL GROUPS,1,1.950
19043-RD,All Websites [EUR],ALL GROUPS,1,1.950
19043-SR,All Websites [EUR],ALL GROUPS,1,1.950
19044,All Websites [EUR],ALL GROUPS,1,7.330
19045,All Websites [EUR],ALL GROUPS,1,7.330
19046-BE,All Websites [EUR],ALL GROUPS,1,1.030
19046-BK,All Websites [EUR],ALL GROUPS,1,1.030
19046-RD,All Websites [EUR],ALL GROUPS,1,1.030
19046-SR,All Websites [EUR],ALL GROUPS,1,1.030
19047-BK,All Websites [EUR],ALL GROUPS,1,1.880
19047-SR,All Websites [EUR],ALL GROUPS,1,1.880
19048,All Websites [EUR],ALL GROUPS,1,1.990
2010020,All Websites [EUR],ALL GROUPS,1,3.090
2010052,All Websites [EUR],ALL GROUPS,1,1.360
2010120,All Websites [EUR],ALL GROUPS,1,3.120
2010138,All Websites [EUR],ALL GROUPS,1,6.700
2010158,All Websites [EUR],ALL GROUPS,1,580
2010159,All Websites [EUR],ALL GROUPS,1,580
2010200,All Websites [EUR],ALL GROUPS,1,390
2010201,All Websites [EUR],ALL GROUPS,1,390
2050331,All Websites [EUR],ALL GROUPS,1,2.090
2060018,All Websites [EUR],ALL GROUPS,1,5.820
3010020,All Websites [EUR],ALL GROUPS,1,3.090
3010158,All Websites [EUR],ALL GROUPS,1,580
3010200,All Websites [EUR],ALL GROUPS,1,390
4010158,All Websites [EUR],ALL GROUPS,1,580
50002,All Websites [EUR],ALL GROUPS,1,3.350
50007-M,All Websites [EUR],ALL GROUPS,1,8.390
50013-M,All Websites [EUR],ALL GROUPS,1,9.960
50015,All Websites [EUR],ALL GROUPS,1,2.190
50019,All Websites [EUR],ALL GROUPS,1,1.560
50020,All Websites [EUR],ALL GROUPS,1,1.560
50021,All Websites [EUR],ALL GROUPS,1,1.560
50022,All Websites [EUR],ALL GROUPS,1,1.560
50038,All Websites [EUR],ALL GROUPS,1,3.250
50042,All Websites [EUR],ALL GROUPS,1,2.620
50046,All Websites [EUR],ALL GROUPS,1,5.230
50046-M,All Websites [EUR],ALL GROUPS,1,5.230
50057,All Websites [EUR],ALL GROUPS,1,2.290
50058,All Websites [EUR],ALL GROUPS,1,3.720
50061,All Websites [EUR],ALL GROUPS,1,14.280
50072-M,All Websites [EUR],ALL GROUPS,1,5.200
5010158,All Websites [EUR],ALL GROUPS,1,580
50103,All Websites [EUR],ALL GROUPS,1,3.780
50108,All Websites [EUR],ALL GROUPS,1,19.990
50178,All Websites [EUR],ALL GROUPS,1,3.550
50185,All Websites [EUR],ALL GROUPS,1,12.430
50192,All Websites [EUR],ALL GROUPS,1,2.190
50240,All Websites [EUR],ALL GROUPS,1,3.460
50264,All Websites [EUR],ALL GROUPS,1,3.290
50290,All Websites [EUR],ALL GROUPS,1,16.790
50306,All Websites [EUR],ALL GROUPS,1,3.350
50314,All Websites [EUR],ALL GROUPS,1,7.330
50334,All Websites [EUR],ALL GROUPS,1,22.360
50347,All Websites [EUR],ALL GROUPS,1,4.290
50347-DGY,All Websites [EUR],ALL GROUPS,1,4.290
50347-OE,All Websites [EUR],ALL GROUPS,1,4.290
50354,All Websites [EUR],ALL GROUPS,1,9.990
50354-DGY,All Websites [EUR],ALL GROUPS,1,9.990
50403,All Websites [EUR],ALL GROUPS,1,28.290
50439,All Websites [EUR],ALL GROUPS,1,13.580
50464,All Websites [EUR],ALL GROUPS,1,30.020
50485,All Websites [EUR],ALL GROUPS,1,6.700
50524,All Websites [EUR],ALL GROUPS,1,4.990
50542,All Websites [EUR],ALL GROUPS,1,24.560
50581,All Websites [EUR],ALL GROUPS,1,5.200
50588,All Websites [EUR],ALL GROUPS,1,3.720
50589,All Websites [EUR],ALL GROUPS,1,5.560
50592,All Websites [EUR],ALL GROUPS,1,20.520
50601,All Websites [EUR],ALL GROUPS,1,3.250
50611,All Websites [EUR],ALL GROUPS,1,7.330
50612-SR,All Websites [EUR],ALL GROUPS,1,2.720
50615,All Websites [EUR],ALL GROUPS,1,1.590
50616,All Websites [EUR],ALL GROUPS,1,980
50617-SR,All Websites [EUR],ALL GROUPS,1,1.100
50623,All Websites [EUR],ALL GROUPS,1,6.200
50636,All Websites [EUR],ALL GROUPS,1,36.900
50652-BE,All Websites [EUR],ALL GROUPS,1,3.720
50656,All Websites [EUR],ALL GROUPS,1,4.600
50660,All Websites [EUR],ALL GROUPS,1,9.330
50664,All Websites [EUR],ALL GROUPS,1,2.720
50672,All Websites [EUR],ALL GROUPS,1,2.300
50673,All Websites [EUR],ALL GROUPS,1,7.450
