sku,additional_attributes
51567,"beschreibung= * Set aus Kompass, LED-Taschenlampe und Taschenmesser
 
 
 
 Aluminium, Edelstahl, silber, Batterie inklusive, CE, Kompass, LED-Farbe weiß, Messer,druckbereich=120 x 60,farbe=silber,gewicht=230 g,material= Aluminium, Edelstahl,zolltarifnummer=82119300"
51568,"beschreibung= Edelstahl, silber,druckbereich=70 x 10,farbe=silber,gewicht=525 g,material= Edelstahl,zolltarifnummer=82152010"
51569,"beschreibung= Metall, silber, CE,druckbereich=18 x 50,farbe=silber,gewicht=217 g,material= Metall,zolltarifnummer=82055100"
51570,"beschreibung= - Mit 13 Schrauberbits und einer Verlängerung
 
 - Rechts-/Linksumschaltung am Ratschenkopf
 
 - Mit Drehgelenk (drei Positionen)
 
 
 
 Metall, silber,druckbereich=22 x 7,farbe=silber,gewicht=247 g,material= Metall,zolltarifnummer=82054000"
51571,"beschreibung= Optimale Warmhaltefunktion, 400 ml
 
 
 
 Vakuumbecher
 
 
 
 Edelstahl, Kunststoff, Silikon, schwarz, silber, Fassungsvermögen,druckbereich=35 x 55,farbe=schwarz, silber,gewicht=310 g,material= Edelstahl, Kunststoff, Silikon,zolltarifnummer=96170000"
51572,"beschreibung= Optimale Warmhaltefunktion, 450 ml
 
 
 
 Vakuumbecher
 
 
 
 Edelstahl, Kunststoff, silber, Fassungsvermögen,druckbereich=30 x 120,farbe=silber,gewicht=278 g,material= Edelstahl, Kunststoff,zolltarifnummer=96170000"
51574,"beschreibung= Edelstahl, silber, Saugnäpfe,druckbereich=50 x 15,farbe=silber,gewicht=12 g,material= Edelstahl,zolltarifnummer=73269098"
51576-GY,"beschreibung= Dieser formschöne Designartikel für den Schreibtisch besticht durch seine Eleganz und hohe Funktionalität: Neben einem Stiftehalter verfügt der Artikel über einen magnetischen Standring, sowie eine praktische Halterung für Fotos oder Visitenkarten. Inkl. 5 Büroklammern.
 
 
 
 Ohne Stift
 
 * Inkl. 5 Büroklammern
 
 
 
 Acryl, Metall, grau, Büroklammern inklusive, Magnethalterung,druckbereich=25 x 10,farbe=grau,gewicht=327 g,material= Acryl, Metall,zolltarifnummer=39261000"
51576-RD,"beschreibung= Dieser formschöne Designartikel für den Schreibtisch besticht durch seine Eleganz und hohe Funktionalität: Neben einem Stiftehalter verfügt der Artikel über einen magnetischen Standring, sowie eine praktische Halterung für Fotos oder Visitenkarten.
 
 * Inkl. 5 Büroklammern
 
 
 
 Acryl, Metall, rot, Büroklammern inklusive, Magnethalterung,druckbereich=30 x 6,farbe=rot,gewicht=327 g,material= Acryl, Metall,zolltarifnummer=39261000"
51577,"beschreibung= Metall, silber,druckbereich=60 x 7,farbe=silber,gewicht=49 g,material= Metall,zolltarifnummer=82141000"
51578,"beschreibung= Aluminium, silber,druckbereich=45 x 8,farbe=silber,gewicht=132 g,material= Aluminium,zolltarifnummer=82055100"
51579,"beschreibung= Edelstahl, silber,druckbereich=Ø 20,farbe=silber,gewicht=74 g,material= Edelstahl,zolltarifnummer=82055100"
51580,"beschreibung= Metall, silber,druckbereich=20 x 20,farbe=silber,gewicht=483 g,material= Metall,zolltarifnummer=82055100"
51581,"beschreibung= Schwungvolles Design für Autofreunde, inkl. Anspitzer, Radiergummi, Bleistift, Büroklammern und Notizzetteln.
 
 
 
 Metall, silber, Büroklammern inklusive, Magnethalterung,druckbereich=70 x 20,farbe=silber,gewicht=397 g,material= Metall,zolltarifnummer=82141000"
51582-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=15 g,material= Filz,zolltarifnummer=42023290"
51583-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=65 g,material= Filz,zolltarifnummer=42029298"
51584-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=30 g,material= Filz,zolltarifnummer=63079091"
51585-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=131 g,material= Filz,zolltarifnummer=42029298"
51586-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=20 g,material= Filz,zolltarifnummer=42029298"
51587-LGY,"beschreibung= * Preis auf Anfrage
 
 * Sonderanfertigungen ab 500 Stück
 
 
 
 Filz, hellgrau, Polybeutel,druckbereich=,farbe=hellgrau,gewicht=14 g,material= Filz,zolltarifnummer=42023290"
51592,"beschreibung= * Inklusive neutralem Doming
 
 * Individuelle Domings auf Anfrage
 
 
 
 Aluminium, silber,druckbereich=55 x 45,farbe=silber,gewicht=23 g,material= Aluminium,zolltarifnummer=76169990"
51593,"beschreibung= * Inklusive neutralem Doming
 
 * Individuelle Domings auf Anfrage
 
 
 
 Aluminium, silber,druckbereich=45 x 45,farbe=silber,gewicht=23 g,material= Aluminium,zolltarifnummer=76169990"
51594,"beschreibung= * Platz für ca. 30 Visitenkarten
 
 * Inklusive neutralem Doming
 
 * Individuelle Domings auf Anfrage
 
 
 
 Aluminium, silber,druckbereich=90 x 18,farbe=silber,gewicht=23 g,material= Aluminium,zolltarifnummer=76169990"
51595,"beschreibung= * Platz für ca. 30 Visitenkarten
 
 * Inklusive neutralem Doming
 
 * Individuelle Domings auf Anfrage
 
 
 
 Aluminium, silber,druckbereich=43 x 54,farbe=silber,gewicht=23 g,material= Aluminium,zolltarifnummer=76169990"
51596,"beschreibung= * Inklusive neutralem Doming
 
 * Individuelle Domings auf Anfrage
 
 * In passendem Etui aus Filz
 
 
 
 Filz, Metall, grau, silber,druckbereich=35 x 20,farbe=grau, silber,gewicht=95 g,material= Filz, Metall,zolltarifnummer=82141000"
51601,"beschreibung= * Aus hochwertigem Metall
 
 
 
 Acryl, Kunststoff, Metall, silber, Batterie inklusive, CE, Uhr, Weckfunktion,druckbereich=Ø 37,farbe=silber,gewicht=452 g,material= Acryl, Kunststoff, Metall,zolltarifnummer=91051100"
51602,"beschreibung= * Großzügige Werbefläche
 
 * Als Trophäe für besondere Ereignisse geeignet
 
 
 
 Metall, silber, Batterie inklusive, CE, Uhr,druckbereich=40 x 130,farbe=silber,gewicht=288 g,material= Metall,zolltarifnummer=91059100"
51603,"beschreibung= Der Kalender ist durch Drehen der Ringe einstellbar und hat einen integrierten Stifthalter und eine separierbare Uhr.
 
 
 
 Metall, silber, Batterie inklusive, CE, Datum, Uhr,druckbereich=30 x 19,farbe=silber,gewicht=265 g,material= Metall,zolltarifnummer=91059100"
51604,"beschreibung= Aluminium, silber,druckbereich=35 x 10,farbe=silber,gewicht=12 g,material= Aluminium,zolltarifnummer=76169990"
51606-BK,"beschreibung= Aluminium, Kunststoff, schwarz,druckbereich=70 x 14,farbe=schwarz,gewicht=15 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51606-SBE,"beschreibung= Aluminium, Kunststoff, blau, silber, silber/blau,druckbereich=70 x 14,farbe=blau, silber, silber/blau,gewicht=15 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51606-SBK,"beschreibung= Aluminium, Kunststoff, schwarz, silber, silber/schwarz,druckbereich=70 x 14,farbe=schwarz, silber, silber/schwarz,gewicht=15 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51608-BK,"beschreibung= Aluminium, Kunststoff, schwarz,druckbereich=90 x 30,farbe=schwarz,gewicht=40 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51608-SBE,"beschreibung= Aluminium, Kunststoff, blau, silber, silber/blau,druckbereich=90 x 30,farbe=blau, silber, silber/blau,gewicht=40 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51608-SBK,"beschreibung= Aluminium, Kunststoff, schwarz, silber, silber/schwarz,druckbereich=90 x 30,farbe=schwarz, silber, silber/schwarz,gewicht=40 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51610-BK,"beschreibung= Aluminium, Kunststoff, schwarz,druckbereich=57 x 40,farbe=schwarz,gewicht=28 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51610-OE,"beschreibung= Aluminium, Kunststoff, orange,druckbereich=57 x 40,farbe=orange,gewicht=28 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51610-SBK,"beschreibung= Aluminium, Kunststoff, schwarz, silber, silber/schwarz,druckbereich=57 x 40,farbe=schwarz, silber, silber/schwarz,gewicht=28 g,material= Aluminium, Kunststoff,zolltarifnummer=76169990"
51612,"beschreibung= Edelstahl, silber, Büroklammern inklusive, Magnethalterung,druckbereich=35 x 10,farbe=silber,gewicht=89 g,material= Edelstahl,zolltarifnummer=83040000"
51613,"beschreibung= * Mit integriertem Brieföffner
 
 
 
 Edelstahl, silber,druckbereich=Ø 13,farbe=silber,gewicht=133 g,material= Edelstahl,zolltarifnummer=83040000"
51614,"beschreibung= Edelstahl, silber, Büroklammern inklusive, Magnethalterung,druckbereich=Ø 20,farbe=silber,gewicht=141 g,material= Edelstahl,zolltarifnummer=83040000"
51615-BK,"beschreibung= * Entspannend fürs Büro: Trainiert beim Zusammendrücken die Hände und massiert mit
 
  verschiedenen Massageoberflächen.
 
 
 
 Kunststoff, schwarz, Polybeutel,druckbereich=60 x 15,farbe=schwarz,gewicht=32 g,material= Kunststoff,zolltarifnummer=95069190"
51615-RD,"beschreibung= * Entspannend fürs Büro: Trainiert beim Zusammendrücken die Hände und massiert mit
 
  verschiedenen Massageoberflächen.
 
 
 
 Kunststoff, rot, Polybeutel,druckbereich=60 x 15,farbe=rot,gewicht=32 g,material= Kunststoff,zolltarifnummer=95069190"
51615-WE,"beschreibung= * Entspannend fürs Büro: Trainiert beim Zusammendrücken die Hände und massiert mit
 
  verschiedenen Massageoberflächen.
 
 
 
 Kunststoff, weiß, Polybeutel,druckbereich=60 x 15,farbe=weiß,gewicht=32 g,material= Kunststoff,zolltarifnummer=95069190"
51618-BE,"beschreibung= * Mit integriertem Bildschirmreiniger auf der Rückseite
 
 
 
 Kunststoff, blau, Polybeutel,druckbereich=45 x 25,farbe=blau,gewicht=11 g,material= Kunststoff,zolltarifnummer=39261000"
51618-BK,"beschreibung= * Mit integriertem Bildschirmreiniger auf der Rückseite
 
 
 
 Kunststoff, schwarz, Polybeutel,druckbereich=45 x 25,farbe=schwarz,gewicht=11 g,material= Kunststoff,zolltarifnummer=39261000"
51618-RD,"beschreibung= * Mit integriertem Bildschirmreiniger auf der Rückseite
 
 
 
 Kunststoff, rot, Polybeutel,druckbereich=45 x 25,farbe=rot,gewicht=11 g,material= Kunststoff,zolltarifnummer=39261000"
51618-WE,"beschreibung= * Mit integriertem Bildschirmreiniger auf der Rückseite
 
 
 
 Kunststoff, weiß, Polybeutel,druckbereich=45 x 25,farbe=weiß,gewicht=11 g,material= Kunststoff,zolltarifnummer=39261000"
51619,"beschreibung= * Stromanschluss über USB-Kabel (im Lieferumfang enthalten), optional über Batterie (nicht im Lieferumfang enthalten)
 
 * Anschluss der externen Geräte über Klinkenstecker (3,5 mm, im Lieferumfang enthalten)
 
 * Externe Geräte werden auf der drehbaren Halterung per Haftpad gehalten
 
 
 
 Kunststoff, weiß, CE,druckbereich=70 x 20,farbe=weiß,gewicht=277 g,material= Kunststoff,zolltarifnummer=85182200"
51620,"beschreibung= * Füllmenge ca. 200 ml
 
 
 
 Edelstahl, silber, Fassungsvermögen,druckbereich=70 x 80,farbe=silber,gewicht=182 g,material= Edelstahl,zolltarifnummer=73269098"
51621,"beschreibung= * Füllmenge ca. 200 ml
 
 
 
 Edelstahl, silber, Fassungsvermögen,druckbereich=75 x 105,farbe=silber,gewicht=113 g,material= Edelstahl,zolltarifnummer=73269098"
51623,"beschreibung= * Mit Gunmetal-Plattierung
 
 
 
 Metall,druckbereich=Ø 41,5,farbe=,gewicht=58 g,material= Metall,zolltarifnummer=83025000"
51625,"beschreibung= * 1500 mAh
 
 * Mit drei Adaptern für Iphone 30-Pin, Mini-USB und Micro-USB
 
 * Aufladen des Gerätes über ein eingebautes USB-Kabel
 
 
 
 iPhone® is a trademark of Apple Inc., registered in the U.S. and other countries
 
 
 
 Kunststoff, weiß, Batterie inklusive (aufladbar), CE,druckbereich=50 x 12,farbe=weiß,gewicht=140 g,material= Kunststoff,zolltarifnummer=85076000"
51626,"beschreibung= * Inkl. 2-in-1-Kabel zum Stromanschluss über USB und Audioanschluss über Klinkenstecker
 
 * zusätzliches Audiokabel zum Anschluss von Smartphones und MP3-Playern.
 
 
 
 Kunststoff, weiß, CE, LED-Farbe blau,druckbereich=78 x 18,farbe=weiß,gewicht=222 g,material= Kunststoff,zolltarifnummer=85182200"
51627,"beschreibung= * Mit Keramikmahlwerk
 
 
 
 Kunststoff, schwarz, silber,druckbereich=15 x 15,farbe=schwarz, silber,gewicht=173 g,material= Kunststoff,zolltarifnummer=69120029"
51629-BK,"beschreibung= Eingabestift für kapazitive Displays von Smartphones und Tabletcomputern
 
 
 
 Aluminium, Metall, schwarz, Kugelschreibermine schwarz, Polybeutel,druckbereich=55 x 4,farbe=schwarz,gewicht=8 g,material= Aluminium, Metall,zolltarifnummer=96081092"
51629-SR,"beschreibung= Eingabestift für kapazitive Displays von Smartphones und Tabletcomputern
 
 
 
 Aluminium, Metall, silber, Kugelschreibermine schwarz, Polybeutel,druckbereich=55 x 4,farbe=silber,gewicht=8 g,material= Aluminium, Metall,zolltarifnummer=96081092"
51629-WE,"beschreibung= Eingabestift für kapazitive Displays von Smartphones und Tabletcomputern
 
 
 
 Aluminium, Metall, weiß, Kugelschreibermine schwarz, Polybeutel,druckbereich=55 x 4,farbe=weiß,gewicht=8 g,material= Aluminium, Metall,zolltarifnummer=96081092"
51630,"beschreibung= Kalender bis 2023, 3-sprachig (Deutsch, Englisch, Französisch)
 
 
 
 Hochwertiges Acryl
 
 
 
 Acryl,druckbereich=190 x 20,farbe=,gewicht=410 g,material= Acryl,zolltarifnummer=49100000"
51631,"beschreibung= * Für Eiswürfel und Schokolade
 
 
 
 Silikon, weiß,druckbereich=,farbe=weiß,gewicht=131 g,material= Silikon,zolltarifnummer=39241000"
51632,"beschreibung= * Mit Doppelhebelfunktion
 
 
 
 Edelstahl, schwarz,druckbereich=24 x 8,farbe=schwarz,gewicht=71 g,material= Edelstahl,zolltarifnummer=82055100"
51633,"beschreibung= Ausklappbar, mit Haftpadbefestigung, inklusive dreier Highlighter und eines Displayputztuchs.
 
 
 
 Kunststoff, weiß,druckbereich=50 x 20,farbe=weiß,gewicht=64 g,material= Kunststoff,zolltarifnummer=39269097"
51634,"beschreibung= Aluminium, silber, Batterie inklusive, CE, Uhr, Weckfunktion,druckbereich=25 x 5,farbe=silber,gewicht=181 g,material= Aluminium,zolltarifnummer=91051100"
51635,"beschreibung= * Platzsparend zusammenfaltbar
 
 
 
 Filz, grau,druckbereich=300 x 180,farbe=grau,gewicht=700 g,material= Filz,zolltarifnummer=63079091"
51636,"beschreibung= Kabelloser Außensensor
 
 
 
 Kunststoff, weiß, Batterie inklusive, CE, Funkuhr, Hygrometer, Thermometer, Wettertrend, Wochentag wird angezeigt,druckbereich=180 x 15,farbe=weiß,gewicht=452 g,material= Kunststoff,zolltarifnummer=90258040"
51637,"beschreibung= * Für Tisch und Wand
 
 
 
 Holz, Metall, Batterie inklusive, CE, Uhr,druckbereich=50 x 70,farbe=,gewicht=265 g,material= Holz, Metall,zolltarifnummer=91059100"
51638-S,"beschreibung= * Mit drehbarem Ziffernblatt
 
 * Platz für Ihr Lieblingsbild oder Papiereinleger mit Werbedruck (Ø 40 mm)
 
 
 
 Metall, silberglänzend, Batterie inklusive, CE, Uhr,druckbereich=50 x 40,farbe=silberglänzend,gewicht=164 g,material= Metall,zolltarifnummer=91059100"
51639,"beschreibung= * Mit Magnet für Büroklammern
 
 * Schwere Metalltischuhr mit großer Veredelungsfläche
 
 * Im drehbaren Uhrenkorpus ist auf der Rückseite Platz für ein Bild oder einen Papiereinleger mit Werbedruck (Ø 40 mm)
 
 
 
 Metall, Batterie inklusive, CE, Uhr,druckbereich=35 x 15,farbe=,gewicht=468 g,material= Metall,zolltarifnummer=91059100"
51640,"beschreibung= * Im drehbaren Uhrenkorpus ist auf der Rückseite Platz für ein Bild oder einen Papiereinleger mit Werbedruck (Ø 40 mm)
 
 * Großflächige Veredelungsmöglichkeit auf der Glasplatte
 
 
 
 Metall, Batterie inklusive, CE, Uhr,druckbereich=75 x 55,farbe=,gewicht=663 g,material= Metall,zolltarifnummer=91059100"
51641,"beschreibung= Hochwertiges Acryl
 
 
 
 Kunststoff, transparent,druckbereich=71 x 56,farbe=transparent,gewicht=64 g,material= Kunststoff,zolltarifnummer=39261000"
51642,"beschreibung= * Aus hochwertigem Acryl
 
 
 
 Acryl, transparent,druckbereich=95 x 24,farbe=transparent,gewicht=216 g,material= Acryl,zolltarifnummer=39261000"
51643,"beschreibung= * Aus hochwertigem Acryl
 
 
 
 Acryl,druckbereich=65 x 70,farbe=,gewicht=226 g,material= Acryl,zolltarifnummer=39269097"
51644,"beschreibung= Edelstahl, Kunststoff, schwarz, silber, Länge,druckbereich=Ø 35,farbe=schwarz, silber,gewicht=49 g,material= Edelstahl, Kunststoff,zolltarifnummer=90178010"
51645,"beschreibung= Edelstahl, silber,druckbereich=65 x 5,farbe=silber,gewicht=294 g,material= Edelstahl,zolltarifnummer=82032000"
51647,"beschreibung= Metall, Batterie inklusive, CE, Uhr, Wandhalterung,druckbereich=75 x 20,farbe=,gewicht=495 g,material= Metall,zolltarifnummer=91052100"
51648,"beschreibung= Metall, schwarz, silber,druckbereich=35 x 10,farbe=schwarz, silber,gewicht=111 g,material= Metall,zolltarifnummer=82055100"
51649,"beschreibung= Kunststoff, schwarz, 12/24-Stundenanzeige, Batterie inklusive, CE, Datum, Hygrometer, Thermometer, Uhr, Wettertrend, Wochentag wird angezeigt,druckbereich=170 x 70,farbe=schwarz,gewicht=308 g,material= Kunststoff,zolltarifnummer=90258040"
51650-BK,"beschreibung= Für kapazitive Displays von Smartphones und Tabletcomputern. Mit integriertem Kugelschreiber und Stecker zur Befestigung am Handy.
 
 
 
 Kunststoff, schwarz, Kugelschreibermine blau,druckbereich=75 x 5,farbe=schwarz,gewicht=6 g,material= Kunststoff,zolltarifnummer=96081092"
51650-SR,"beschreibung= Für kapazitive Displays von Smartphones und Tabletcomputern. Mit integriertem Kugelschreiber und Stecker zur Befestigung am Handy.
 
 
 
 Kunststoff, silber, Kugelschreibermine blau,druckbereich=75 x 5,farbe=silber,gewicht=6 g,material= Kunststoff,zolltarifnummer=96081092"
51651,"beschreibung= * Messung in PSI, BAR und KPA möglich
 
 * Bereich: 5-150 PSI (10bar) +/-1 PSI
 
 
 
 Edelstahl, Kunststoff, schwarz, silber, Batterie inklusive, CE,druckbereich=15 x 20,farbe=schwarz, silber,gewicht=55 g,material= Edelstahl, Kunststoff,zolltarifnummer=90262020"
51652,"beschreibung= * Inkl. Schreibblock mit 50 Blättern
 
 * Gunmetal Gravurplatte
 
 
 
 Kunstleder, schwarz,druckbereich=75 x 12,farbe=schwarz,gewicht=420 g,material= Kunstleder,zolltarifnummer=42029219"
51653,"beschreibung= * Inkl. Schreibblock mit 50 Blättern
 
 * Gunmetal Gravurplatte
 
 
 
 Kunstleder, schwarz,druckbereich=95 x 12,farbe=schwarz,gewicht=760 g,material= Kunstleder,zolltarifnummer=42029219"
51654,"beschreibung= Eindrucksvolle Aufmerksamkeit, bestehend aus Visitenkartenetui und Schlüsselanhänger.
 
 
 
 Gunmetal-Plattierung: Perfekt für edle Lasergravuren
 
 
 
 Metall,druckbereich=25 x 12,farbe=,gewicht=46 g,material= Metall,zolltarifnummer=76169990"
51655,"beschreibung= Eindrucksvolle Aufmerksamkeit, bestehend aus Visitenkartenetui und Schlüsselanhänger. 
 
 
 
 Gunmetal-Plattierung: Perfekt für edle Lasergravuren
 
 
 
 Metall,druckbereich=39 x 17,farbe=,gewicht=46 g,material= Metall,zolltarifnummer=76169990"
51656,"beschreibung= Kunstleder, schwarz,druckbereich=60 x 100,farbe=schwarz,gewicht=31 g,material= Kunstleder,zolltarifnummer=42023210"
51657,"beschreibung= Faltbarer Schreibtischorganizer, ideal für Mailingaktionen, Gunmetal Gravurfläche.
 
 
 
 Ohne Stift
 
 
 
 Kunstleder, schwarz,druckbereich=65 x 35,farbe=schwarz,gewicht=127 g,material= Kunstleder,zolltarifnummer=39269097"
51658,"beschreibung= * Passend für IPad 2, 3 und 4
 
 
 
 IPad® is a trademark of Apple Inc., registered in the U.S. and other countries
 
 
 
 Kunstleder, schwarz,druckbereich=230 x 110,farbe=schwarz,gewicht=185 g,material= Kunstleder,zolltarifnummer=84733080"
51659,"beschreibung= Kunststoff, silber, 12/24-Stundenanzeige, Batterie inklusive, CE, Hygrometer, Thermometer, Uhr, Wecker mit Schlummerfunktion, Wettertrend,druckbereich=115 x 20,farbe=silber,gewicht=174 g,material= Kunststoff,zolltarifnummer=90258040"
51660,"beschreibung= * Arretierbar
 
 
 
 Kunststoff, Metall, Länge,druckbereich=Ø 37,farbe=,gewicht=123 g,material= Kunststoff, Metall,zolltarifnummer=90178010"
51661,"beschreibung= * Arretierbar
 
 
 
 Kunststoff, Metall, schwarz, silber, Länge,druckbereich=Ø 45,farbe=schwarz, silber,gewicht=216 g,material= Kunststoff, Metall,zolltarifnummer=90178010"
51663,"beschreibung= Für kapazitive Displays
 
 
 
 Metall, silber,druckbereich=20 x 4,farbe=silber,gewicht=39 g,material= Metall,zolltarifnummer=79070000"
51665-WE,"beschreibung= * Per Doming gestaltbar
 
 
 
 Edelstahl, Kunststoff, weiß,druckbereich=15 x 10,farbe=weiß,gewicht=54 g,material= Edelstahl, Kunststoff,zolltarifnummer=82055100"
51666-BK,"beschreibung= * Herausnehmbares Markenuhrwerk (PC21S) mit drehbarer Lünette
 
 * Ziffernblattbedruckung ab 1000 Stück
 
 * Drehbar, zur horizontalen oder vertikalen Verwendung
 
 * Immerwährender Kalender
 
 
 
 Metall, schwarz, Batterie inklusive, CE, Datum, Uhr,druckbereich=10 x 110,farbe=schwarz,gewicht=146 g,material= Metall,zolltarifnummer=91031000"
51666-WE,"beschreibung= * Herausnehmbares Markenuhrwerk (PC21S) mit drehbarer Lünette
 
 * Ziffernblattbedruckung ab 1000 Stück
 
 * Drehbar, zur horizontalen oder vertikalen Verwendung
 
 * Immerwährender Kalender
 
 * In Geschenkverpackung
 
 
 
 Metall, weiß, Batterie inklusive, CE, Datum, Uhr,druckbereich=10 x 110,farbe=weiß,gewicht=146 g,material= Metall,zolltarifnummer=91031000"
51667,"beschreibung= * Lautsprecher mit integriertem Ladegerät (2200 mAh)
 
 * USB-Kabel zum Aufladen des Gerätes inklusive
 
 * Für Geräte mit 3,5 mm Kopfhöreranschluss
 
 
 
 Kunststoff, Metall, silber, Batterie inklusive (aufladbar), CE, Länge,druckbereich=110 x 15,farbe=silber,gewicht=137 g,material= Kunststoff, Metall,zolltarifnummer=85182100"
51668,"beschreibung= * Mit neun LEDs
 
 
 
 Aluminium, schwarz, Batterie inklusive, CE, LED-Farbe weiß,druckbereich=90 x 15,farbe=schwarz,gewicht=100 g,material= Aluminium,zolltarifnummer=85131000"
51669,"beschreibung= * Inkl. 100 Haftnotizen
 
 * Gunmetal Gravurfläche
 
 
 
 Metall, dunkelgrau,druckbereich=78 x 14,farbe=dunkelgrau,gewicht=338 g,material= Metall,zolltarifnummer=83040000"
51671,"beschreibung= * Aluminiumziffernblatt
 
 
 
 Aluminium, Batterie inklusive, CE, Uhr, Wandhalterung,druckbereich=110 x 40,farbe=,gewicht=562 g,material= Aluminium,zolltarifnummer=91052100"
51672,"beschreibung= * Große Linse, 3-fache Vergrößerung, kleine, verzerrungsfreie asphärische Linse, 5-fache Vergrößerung
 
 * Sehr helle CREE LED
 
 * Winkel des Lichtstrahls verstellbar
 
 
 
 Acryl, Kunststoff, schwarz, Batterie inklusive, CE, LED-Farbe weiß, Vergrößerungslinse,druckbereich=35 x 10,farbe=schwarz,gewicht=139 g,material= Acryl, Kunststoff,zolltarifnummer=90138090"
51673,"beschreibung= * Doppelwandig
 
 * 450 ml
 
 
 
 Edelstahl, Kunststoff, schwarz, silber, Fassungsvermögen,druckbereich=40 x 40,farbe=schwarz, silber,gewicht=178 g,material= Edelstahl, Kunststoff,zolltarifnummer=39241000"
51674,"beschreibung= Kunststoff, schwarz, silber, 12/24-Stundenanzeige, Batterie inklusive, CE, Hygrometer, Thermometer, Wecker mit Schlummerfunktion, Wettertrend, Wochentag wird angezeigt,druckbereich=115 x 17,farbe=schwarz, silber,gewicht=213 g,material= Kunststoff,zolltarifnummer=90258040"
51676,"beschreibung= * Mit Teleskoparm: 20 bis 70 cm
 
 
 
 Edelstahl, Kunststoff, schwarz, silber, Länge, Polybeutel,druckbereich=25 x 5,farbe=schwarz, silber,gewicht=46 g,material= Edelstahl, Kunststoff,zolltarifnummer=73269098"
51677-BE,"beschreibung= Aluminium, blau, Kugelschreibermine blau,druckbereich=85 x 5,farbe=blau,gewicht=16 g,material= Aluminium,zolltarifnummer=96081092"
51677-BK,"beschreibung= Aluminium, schwarz, Kugelschreibermine blau,druckbereich=85 x 5,farbe=schwarz,gewicht=16 g,material= Aluminium,zolltarifnummer=96081092"
51677-RD,"beschreibung= Aluminium, rot, Kugelschreibermine blau,druckbereich=85 x 5,farbe=rot,gewicht=16 g,material= Aluminium,zolltarifnummer=96081092"
51677-SR,"beschreibung= Metall, silber, Kugelschreibermine blau,druckbereich=85 x 5,farbe=silber,gewicht=16 g,material= Metall,zolltarifnummer=96081092"
51679,"beschreibung= Mit herausnehmbarem Teesieb und Sicherheitsverschluss, optimale Warmhaltefunktion, 400 ml.
 
 
 
 Kunststoff, Metall, schwarz, silber, doppelwandig, Fassungsvermögen,druckbereich=35 x 30,farbe=schwarz, silber,gewicht=362 g,material= Kunststoff, Metall,zolltarifnummer=96170000"
51681-BK,"beschreibung= * Ziffernblattbedruckung schon ab 100 Stück
 
 
 
 Metall, schwarz, Batterie inklusive, CE, Uhr,druckbereich=Ø 37,farbe=schwarz,gewicht=140 g,material= Metall,zolltarifnummer=91059100"
51681-S,"beschreibung= * Ziffernblattbedruckung schon ab 100 Stück
 
 
 
 Metall, silber, silberglänzend, Batterie inklusive, CE, Uhr,druckbereich=Ø 37,farbe=silber, silberglänzend,gewicht=145 g,material= Metall,zolltarifnummer=91059100"
51683,"beschreibung= Optimale Warmhaltefunktion durch Vakuum, 470 ml.
 
 
 
 Edelstahl, Fassungsvermögen,druckbereich=30 x 175,farbe=,gewicht=365 g,material= Edelstahl,zolltarifnummer=96170000"
51684,"beschreibung= * Doppelwandig
 
 * Demontierbar zur leichteren Reinigung
 
 * 450 ml
 
 
 
 Edelstahl, Kunststoff, Fassungsvermögen,druckbereich=40 x 40,farbe=,gewicht=258 g,material= Edelstahl, Kunststoff,zolltarifnummer=73239300"
