sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus
10001-S,,Werbeartikel,simple,"Default Category/Werbeklassiker,Default Category/Werbeklassiker/Schlüsselanhänger",base,"Schlüsselanhänger REFLECTS-CABLE SILVER",,,1.0000,1,"Taxable Goods","Katalog, Suche",1.6900,,,,schlusselanhanger-reflects-cable-silver,,,,/1/0/10001-s_1.jpg,,/1/0/10001-s_1.jpg,,/1/0/10001-s_1.jpg,,,,"23.01.17 19:05","23.01.17 19:05",,,"Block nach Info-Spalte",,,,"Konfiguration verwenden",,,,,,,"Konfiguration verwenden",,"beschreibung=Metall, silber
,color=silber,druckbereich=Ø 23,farbe=silber,gewicht=24,material=Metall,zolltarifnummer=79070000",1000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/1/0/10001-s_1.jpg,,,,,,,,,,
10001,,Werbeartikel,simple,"Default Category/Werbeklassiker,Default Category/Werbeklassiker/Schlüsselanhänger",base,"Schlüsselanhänger REFLECTS-CABLE MATT",,,0.0240,1,"Taxable Goods","Katalog, Suche",1.4200,,,,schlusselanhanger-reflects-cable-matt,"Schlüsselanhänger REFLECTS-CABLE MATT","Schlüsselanhänger REFLECTS-CABLE MATT","Schlüsselanhänger REFLECTS-CABLE MATT ",/1/0/10001_1.jpg,,/1/0/10001_1.jpg,,/1/0/10001_1.jpg,,/1/0/10001_1.jpg,,"22.01.17 03:41","22.01.17 03:41",,,"Block nach Info-Spalte",,,,"Konfiguration verwenden",,,,,,,,,"beschreibung=Metall, mattsilber, silber
,color=mattsilber, silber,druckbereich=Ø 23,farbe=mattsilber, silber,gewicht=24 g,material=Metall,zolltarifnummer=79070000",1000.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/1/0/10001_1.jpg,/1/0/10001_2.jpg",",",,"name=Druck Optionen,type=drop_down,required=1,price=,price_type=fixed,sku=10001,option_title=Ohne Werbeanbringung|name=Druck Optionen,type=drop_down,required=1,price=,price_type=fixed,sku=10001,option_title=Lasergravur|name=Druck Optionen,type=drop_down,required=1,price=,price_type=fixed,sku=10001,option_title=Doming",,,,,,,
